Fannie Mae Projected Environmental Impact At Issuance Per CUSIP: Multifamily Green MBS(1)(2),,,,,,,,,
2012-2022,,,,,,,,,
© 2023 Fannie Mae,,,,,,,,,
,,,,,,,,,
Security CUSIP,(notes),Green Financing Type,Issue Date,"Issuance UPB
($USD)","Estimated Annual 
Energy Savings (3)(4)
(kBTU) ","Estimated Annual 
Emissions Savings (3)
(MTCO2e) ","Estimated Annual 
Water Savings (3)
(gallons) ",,
3140LE3Y1,,Green Building Certification,1 Jan 2022," 9,440,000 "," 430,553 ", 14 , -   ,,
3140LE4Z7,,Green Building Certification,1 Jan 2022," 17,033,000 "," 1,572,195 ", 86 , -   ,,
3140LE5P8,(5),Green Building Certification,1 Jan 2022," 53,950,000 ", -   , -   , -   ,,
3140LE5X1,,Green Building Certification,1 Jan 2022," 9,489,000 "," 699,874 ", 29 , -   ,,
3140LE6P7,,Green Building Certification,1 Jan 2022," 94,812,000 "," 8,432,438 ", 243 , -   ,,
3140LEK63,,Green Building Certification,1 Jan 2022," 61,135,000 "," 3,050,484 ", 101 , -   ,,
3140LEMG9,,Green Building Certification,1 Jan 2022," 11,214,000 "," 970,777 ", 32 , -   ,,
3140LEML8,,Green Building Certification,1 Jan 2022," 76,100,000 "," 4,736,588 ", 182 , -   ,,
3140LEMM6,,Green Building Certification,1 Jan 2022," 15,760,000 "," 354,028 ", 11 , -   ,,
3140LENR4,(5),Green Building Certification,1 Jan 2022," 12,908,000 ", -   , -   , -   ,,
3140LEQX8,,Green Building Certification,1 Jan 2022," 20,900,000 "," 1,498,878 ", 61 , -   ,,
3140LESU2,,Green Building Certification,1 Jan 2022," 44,514,000 "," 1,502,177 ", 45 , -   ,,
3140LETB3,,Green Building Certification,1 Jan 2022," 4,576,667 "," 6,517,895 ", 258 , -   ,,
3140LETU1,(5),Green Building Certification,1 Jan 2022," 28,650,000 ", -   , -   , -   ,,
3140LEVJ3,,Green Building Certification,1 Jan 2022," 14,400,000 "," 8,073,671 ", 401 , -   ,,
3140LEVN4,,Green Building Certification,1 Jan 2022," 10,704,000 "," 1,390,780 ", 76 , -   ,,
3140LEW78,(5),Green Building Certification,1 Jan 2022," 79,872,000 ", -   , -   , -   ,,
3140LEW94,,Green Building Certification,1 Jan 2022," 91,650,000 "," 4,986,037 ", 266 , -   ,,
